id,title,company,location,skills,description,seniority
job-3819416106,Full Stack Developer,HQ,"Ogden, UT",Java;JavaScript;TypeScript;React;HTML;CSS,We work with a large variety of clients and projects across mobile and web applications. Everyone on our team will continually gain an extreme amount of experience in software development due to the sheer breadth and volume of what we work on. It is really tough to beat this type of a job in leveling up as a developer or designer. Remote candidates within +/- 2 hours of the MST timezone are welcome to apply. What you'll be doing:Leading projectsPlanning architecture (with support)Producing a hig,Mid
job-3827945924,Software Engineer,TRG,"Westlake, OH",SQL;Java;JavaScript;HTML;CSS;Git;Communication,"*This position is fully onsite and requires speaking fluent English as client communication is necessary. *Software Engineer 1, under the guidance of the Manager of Application Development and Senior Software Engineers, will develop code for both external and internal customer projects. They will adhere to established security and coding standards, participating in the Implementation, Testing, and Deployment of projects. Key responsibilities include coding tasks for mobile, desktop, and web appl",Mid
job-3833295504,Mobile Developer (iOS),ABHI IT SYSTEMS INC,"Dallas, TX",APIs;Excel;Git;CI/CD;Swift;iOS SDK;UIKit;Agile;Communication,"**Job Title: Senior iOS Developer** **Company:** ABHI IT SYSTEMS INC **Location:** Remote(Dallas TX) **About ABHI IT SYSTEMS INC:**ABHI IT SYSTEMS INC is a cutting-edge technology company committed to delivering innovative solutions to clients across various industries. With a focus on excellence and customer satisfaction, we strive to push the boundaries of technology and provide unparalleled services to our clients. **Position Overview:**We are seeking a highly skilled and experienced Senior i",Mid
job-3857848893,DevOps Engineer,LionOrbit Tech Solutions LLC,"Vienna, VA",Java;JavaScript;Node.js;Docker;Kubernetes;Git;CI/CD;Linux,"Summary:The DevOps Engineer will join a Digital DevOps team and support the multiple Development/Experience Teams who are developing our next generation, Cloud-based banking system. Background & Expectation:Our client is in the process of the migrating our Cloud-based banking system from Tanzu/PCF platform to Azure Kubernetes Service (AKS) and anticipate the resource participating in related activities and providing day-to-day support to the Development teams on this transition.Front-end softwar",Mid
job-3862107843,Product Manager,Swipeclock,"South Jordan, UT",Excel;Product Strategy;Agile;Communication,"Swipeclock is on a mission to make working life simpler and more productive. We’re a leading provider of people solutions for small businesses with over one million employees at more than 45,000 businesses using our time tracking, scheduling and hiring solutions. We offer a unique opportunity to join a well-established SaaS company that is profitable, stable and growing. We are now accepting applications for a full-time Product Manager to join our data driven and outcome focused team. As a Produ",Mid
job-3863610227,Software Engineer,Qentelli,"Dallas, TX",APIs;Tableau;Python;SQL;Java;JavaScript;HTML;CSS;Git;CI/CD;Selenium;Test Automation;Agile;Performance Tuning;Communication,"Must Have: · 10 -12 years of experience with various automation tools and technologies· Design, build, and maintain efficient, reusable, and reliable C# code with Visual Studio or other IDEs· Expertise in working with JSON objects. · Experience in working with inserting data onto the SQL tables using stored procedures · Experience in utilizing SQL Server for Performance Tuning, Query Optimization· Write and optimize complex SQL statements for DB Validations· Tableau Dashboard development and val",Mid
job-3870389946,Mobile Developer (Android),Budgetwise,United States,Excel;Git;Kotlin;Communication,"About Budgetwise:Budgetwise is an innovative AI-powered budgeting and personal finance management application designed to empower individuals who are not currently utilizing budgeting apps but could benefit greatly from financial organization and planning. We are a forward-thinking tech startup committed to providing a hands-on learning experience for all our aspiring team-members, especially our software engineers. Role Overview:We are seeking a motivated Android Software Engineering (KOTLIN) I",Mid
job-3871631334,ML Engineer,NLB Services,"Dallas, TX",TensorFlow;PyTorch;Python;Fastapi;AWS,"Job Title: Python AI/ MLType: FulltimeLocation: Dallas, TX Python/AI-ML:Hands on experience with Python, Streamlit, Fastapi (minimum 2+ max 6 years)Hands on experience in developing neural networks using Tensorflow or Pytorch frameworkHands on experience with NLP (NLTK, Spacy, BERT, SBERT models)Hands on experience with vector database (Milvus, FAISS, Pinecone, Vespa, Chroma etc.,)Good understanding on LLMs, Gen AI, Langchain, transformersExperience working and deploying in cloud environment wil",Mid
job-3872787865,Data Analyst,Radiant Systems Inc,United States,Excel;Git;Communication,"Job Description: JOB SUMMARY:Responsible for cleaning, analyzing, interpreting, and displaying data using different approaches and business intelligence tools known as data analysis. Responsible for supporting a select group of digital tools and solutions and managing the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base. Lead the demonstration of solutions and training for users o",Mid
job-3875677847,UI/UX Designer,Thurgood Industries,"Austin, TX",Excel;Networking;User Research;Figma,"Company OverviewThurgood is a career-building and networking platform dedicated to the skilled workers of today and tomorrow. We are on a mission to revolutionize the way skilled tradespeople connect with opportunity. Our platform showcases and connects skilled talent with businesses while celebrating and rewarding personal development and craftsmanship. Thurgood is VC-backed, Austin-based, and looking to take a big swing at an enormous problem. Job DescriptionWe are seeking an entrepreneurial P",Mid
job-3879283271,Software Engineer,"iBrain Technologies, Inc",United States,Excel;Agile;Communication,"Company DescriptioniBrain Technologies is an experienced IT Consulting and Service delivery company headquartered in St Louis MO. we partner with our clients who seek strategic talent and to assist those candidates looking for their next career opportunity. With over 17 years’ experience in the field, we approach each partnership with a commitment to our clients to identify the right fit and to deliver world class candidate experience throughout the recruiting lifecycle. We look forward to worki",Mid
job-3884425580,Product Manager,InRhythm,"Palo Alto, CA",Java;Node.js;AWS;GCP;Docker;Kubernetes;Terraform;Monitoring;Roadmapping;Prototyping;Communication,"We’re Looking For A Cloud Product Manager!Product Development Management is a fast-paced environment where innovative thinking is prized. Our teams focus on the delivery of web and mobile products for our clients. We lead and deliver the entire lifecycle from product definition and planning through to production and release. As a Cloud Product Manager, you will identify new growth areas, technologies and emerging product/service opportunities for our clients. You will conduct in-depth market ana",Mid
job-3884426975,Data Engineer,Publicis Sapient,"Arlington, VA",ETL;Python;SQL;Spark;AWS;GCP;MySQL;Git;dbt;Data Modeling,"Publicis Sapient is looking for Senior Associate, Data Engineers to be part of our team of top-notch technologists. You will lead and deliver technical solutions for large-scale digital transformation projects. Working with the latest data technologies in the industry, you will be instrumental in helping our clients evolve for a more digital future.***We've been named a LEADER in Gen AI*** NOTE: This is a FULL-TIME EMPLOYMENT, NOT A CONTRACT!! Required Tech Stack:Be able to build and implement q",Mid
job-3884430601,Database Administrator,Ledgent Technology,"Boca Raton, FL",Excel;SQL;AWS;Performance Tuning;Communication,"Ledgent Technology is on the lookout for a skilled Database Administrator to join our client's team in Boca Raton, Florida. This is a full-time, on-site position that demands the presence of the successful candidate five days a week. In this role, you will be instrumental in managing, optimizing, and securing our client's databases to support their dynamic business needs. The ideal candidate will bring a blend of technical prowess, strategic thinking, and a commitment to excellence in managing d",Junior
job-3884430949,DevOps Engineer,Zact,United States,Python;SQL;AWS;GCP;Docker;Kubernetes;PostgreSQL;MySQL;Git;CI/CD;Terraform;Linux,"Hey There Future Teammate! Are you the kind of person who dreams about cloud infrastructure and gets excited about the nitty-gritty of deploying microservices in Kubernetes, especially on Google Cloud Platform (GCP)? If you're nodding your head, keep reading - we might just be a match! Here's the Scoop on What You'll Be Diving Into:Think of yourself as an artist, but instead of paint, you'll be using Docker to create masterpieces (a.k.a. applications and services).You'll be our automation superh",Mid
job-3884431580,Data Engineer,"Econtenti, Inc","Seattle, WA",ETL;Excel;Python;SQL;Spark;Data Modeling;Communication,"Company DescriptionEcontenti, Inc is a leading provider of technology, business consulting, and cloud computing services. Specializing in developing applications on the Force.com platform, Econtenti serves businesses globally from its state-of-the-art development center. Role DescriptionThis is a full-time on-site role for an Azure Data Engineer located in Seattle, WA. The Azure Data Engineer will be responsible for day-to-day tasks related to data engineering, data modeling, ETL (Extract Transf",Mid
job-3884431726,QA Engineer,Infinite Computer Solutions,United States,ETL;Excel;Python;SQL;Spark;Airflow;AWS;Agile;Data Modeling;Communication,Job Description: Customer is looking for a qualified senior cloud ETL tester to ensure quality delivery of end-to-end business solutions and to work with one of the leading healthcare providers in the US. The candidate must possess excellent written and verbal communication skills with the ability and collaborate effectively with domain and technical experts in the team The Opportunity :Interpret and analyze data from various source systems to support data integration and data reporting needs fo,Mid
job-3884431792,Business Analyst,Quantum Vision,"Linthicum Heights, MD",Excel;SQL;Java;JavaScript;Git;Test Automation;Agile,"Job Title: Sr. Business Analyst/Tester (HYBRID) Job Location: Linthicum Heights, MD (Hybrid - 3 days onsite) - ONLY LOCALS Job Duration: 1 Year with a possible extension of 5 years Interview Mode: Phone/Video Requisition: Duties:Develops requirements for information systems from a project’s inception to conclusion.Gather requirements from end users and document in a pre-defined format for the development team to build solutions.Resource will develop and document test cases, testing plans, and pr",Mid
job-3884432321,QA Engineer,YETI,"Austin, TX",HTML;AWS;Test Automation;Agile;Communication,"At YETI, we believe that time spent outdoors matters more than ever and our gear can make that time extraordinary. When you work here, you’ll have the opportunity to create exceptional, meaningful work and problem solve with innovative team members by your side. Together, you’ll help our customers get the high-quality gear they need to make the most of their adventures. We are BUILT FOR THE WILD™.  At YETI, we believe that time spent outdoors matters more than ever and our gear can make that tim",Junior
job-3884432522,Data Analyst,MCubeSoft,"Charlotte, NC",Python;SQL;AWS,"Job Title: BUSINESS DATA ANALYST Location: Austin, TX, or Charlotte, NC - (Hybrid 3 days onsite)   W2 POSITION   Technical skills requirements: • Business Data Analysis with Wealth Management experience (10+ years). • Strong in AWS and SQL queries and Python.  Wealth Management Domain knowledge required: • Prime broker-dealer business, alternative investments, retirement funds, portfolio management • Experience working with ledger book tools like Beta, and Fund Master would be a plus. • Trade pl",Mid
job-3884433282,Business Analyst,Planet Technology,"Boston, MA",Excel;SQL;Agile;Communication,"Business AnalystPermBoston MA: Three days on site two days off-site Tuesday's required We are seeking a dynamic and skilled Business Systems Analyst to join our team, focusing on the intersection of business operations and technology within the financial services sector. This role is designed for individuals with a strong foundation in both business and systems analysis, combined with process and project management capabilities. The ideal candidate will act as a key liaison between IT, applicati",Junior
job-3884433520,Database Administrator,Fort Bend Women’s Center,"Richmond, TX",Excel;React;AWS;Networking;Communication,"**This is a Houston area based position and Relocation is not available*******We will trainRoles and ResponsibilitiesProvide counseling and other direct services to agency clients as well as develop and implement education programs on family violence and sexual assault issues in the community. Services will be provided at 3 clinics (FBWC’s Non-Residential office, shelter, Stafford) and other locations as needed mobile service.· Be professional, and abide by agency core values: Service, Passion,",Mid
job-3884434141,Database Administrator,Planet Technology,"Cincinnati, OH",ETL;SQL;Monitoring,"Planet Technology has partnered with a Cincinnati company to locate a SQL DBA for a contract-to-hire position. Responsibilities:Provide for support for MS SQL databases utilizing SSRS, SSIS and SSAS servers and applicationsImplement appropriate level of best practices for constraints, referential integrity, and triggersCreate and support ETL processes for data from SQL and non-SQL platforms into a data warehouseUnderstand and evaluate business requirements and translate them in to specific datab",Mid
job-3884434211,QA Engineer,"IDR, Inc.","Memphis, TN",SQL;Selenium;Test Automation;Agile,"The candidate that will succeed in this position will be able to create all the testing and automation frameworks as required for their projects. Thus, the candidate may have to work on multiple projects once, also working to improve the company's best practices from a testing a standpoint.  ResponsibilitiesMake strategies for increasing test coverage for all products and processes the team owns and collaborate and work towards meeting the targets.Create and update test scenarios and test cases",Mid
job-3884434664,Data Engineer,TechWish,"Sterling, VA",SQL;GCP;Git;Communication,"Job Title: GCP Data EngineerDuration: Long TermLocation: Remote  Responsibilities associated with the position:Data Ingestion Workflows: Design and implement data ingestion workflows on Google Cloud Platform, aligning with business needs and technical specifications.Collaboration and Independence: Work both independently and collaboratively with the team, ensuring effective communication with project leaders.Detailed Specifications: Prepare detailed specifications to guide the development of dat",Mid
job-3884434978,Data Analyst,Outlier,United States,Excel;SQL;AWS,"Job Type: Contract  We don’t sponsor work visas as part of this role.   Are you interested in helping to train AI models to better understand data?  Calling all data analysts, data scientists, and data engineers! Our team is seeking highly experienced SQL experts to be part of the artificial intelligence (AI) revolution.  If you have 2+ years of recent work experience in SQL, this may be the perfect opportunity for you.  Join our team in training AI models to excel at coding generation! We're se",Mid
job-3884435224,Data Engineer,SKYZEN Technologies LLC,"Philadelphia, PA",ETL;Excel;Python;SQL;Java;Spark;AWS;Data Modeling;Communication,"Job DescriptionPosition: Senior Data EngineerLocation: Philadelphia, PADuration: 6 Months Contract-Hire Share your resumes to aadeetya@skyzentech.com. QualificationsData Engineering and Data Modeling skillsExperience with ETL (Extract Transform Load) processesData Warehousing and Data Analytics experienceStrong problem-solving and analytical skillsProficiency in SQL and programming languages (e.g., Python, Java)Knowledge of cloud platforms (e.g., AWS, Azure) and big data technologies (e.g., Hado",Mid
job-3884435309,Data Scientist,Armstrong World Industries,United States,Statistics;Tableau;Python;SQL;Machine Learning;Git,"Primary location: Remote, Remote  Relocation offered: No  Employment status: Full-Time  Travel: <10%  Non-compete: No  Location: Work from home position located in Remote, Remote  The estimated base salary range for this role is $97,060 to $145,580 per year.  Individual pay is based upon location, skills and expertise, experience and other relevant factors (salary may be adjusted based on geographic location)   What does it mean to work at Armstrong?  It means being immersed in a supportive cult",Junior
job-3884435336,Product Manager,Akkodis,"Plano, TX",Excel;AWS;Docker;Kubernetes;Agile;Communication,"Akkodis is seeking a Cloud Product Manager for a contract with a client located in Plano, TX, Atlanta, GA, Chandler, AZ, or Richmond, VA.Pay/Salary Range: $56.17-58.50/hr W2 ONLY12 Month Contract- possibility of extension or perm.Hybrid schedule- onsite 3 days a week, remote 2 days a week. Responsibilities:Creating Service Architecture deliverables consistent with product management principles, standards, methodologies, and best practices from both a bank and industry perspectiveDefining and val",Mid
job-3884436034,Full Stack Developer,Photon,"Rocklin, CA",APIs;Excel;SQL;Java;AWS;Communication,"We are seeking an experienced Full Stack Lead to join our dynamic team. As the Full Stack Lead, you will play a critical role in leading the design, development, and implementation of our software applications. You will guide and mentor a team of developers, ensuring that our solutions are robust, scalable, and aligned with industry best practices.What will you do? Technical Leadership:Lead the design and architecture of our software applications, considering factors such as scalability, perform",Mid
job-3884436145,Cloud Engineer,KRG Technologies Inc.,"Columbus, OH",System Design;Excel;AWS;Git;Agile;Communication,"Senior Cloud Engineer Location: Ohio, Columbus (Onsite role)This is CTH role (Candidate has to join fulltime after 6 months will join fulltime)Contract To Hire Role – Senior Cloud EngineerJob Description SummaryThe Cloud Engineer will provide the required support for our hybrid compute environment. This role will provide support, implementation, and design services for cloud and related banking applications. This role will be resolving, and appropriately completing assigned cases and change requ",Mid
job-3884436924,Software Engineer,aKUBE,"California, United States",Java;JavaScript;TypeScript;React;Agile,"City: Glendale, CA/ Santa Monica, CA/ Seattle, WA/ San Francisco, CAOnsite/ Hybrid/ Remote: 4 days a weekDuration: 18 monthsRate Range: $ 96/hr on W2 depending on experience (no C2C or 1099 or sub-contract)Work Authorization: GC, USC, All valid EADs except H1b Description: As a Sr Software Engineer, you will focus on engineering beautiful user interfaces and interactions. You will use your deep UI engineering and creative skills to take an influential role in iterating and continuously deploying",Mid
job-3884437311,Platform Engineer,Cake,"New York, NY",Kubernetes;Terraform;Monitoring,"About the companyCake is on a mission to make cutting-edge AI accessible to every business. Cake removes complexity and cost barriers, empowering businesses to adopt AI/ML faster and more easily. Cake solves the entire AI infrastructure problem for customers 10x faster and 10x cheaper than alternatives. The platform has 4-layers: compute infrastructure management, open-source components, common integrations, and pre-built project components. Built-in security and monitoring ensure a smooth path",Mid
job-3884437415,QA Engineer,JW Industrial Partners,"San Fernando, CA",System Design;Excel;Python;Git;Agile;Communication,"Our partner is a global manufacturer of industrial components for many industries including aerospace, automotive, defense, and industrial industries. Having been in business for 100+ years, they have facilities and clients in multiple countries. We are currently looking for a Staff Test Engineer Responsibilities:Develop and support LabVIEW-based test executive suite for production deployment.Write LabVIEW and Python code for test system design, improvement, and high complexity testing.Participa",Mid
job-3884437436,Software Engineer,Bracco Medical Technologies,"Eden Prairie, MN",Excel;SQL;Java;JavaScript;TypeScript;React;HTML;CSS;Git;CI/CD;Test Automation;Figma;Prototyping;Communication,"Why Join Bracco Medical Technologies?We care as much about our employees as we do our patients. Our culture fosters a work environment where employees can thrive, be passionate and have fun along the way. Each member of the Bracco Medical Technologies team has the power to make a difference......every day! Position DescriptionThe Senior Software Engineer position is a key member of the Digital Health software and connectivity solution team for Bracco Medical Technologies (BMT) and will develop f",Mid
job-3884437511,Business Analyst,"V-Soft Consulting Group, Inc.","Richmond, VA",Excel;AWS;Agile;Communication,"Primary Location: Richmond, Virginia  V-Soft Consulting is currently hiring for a Business Analyst 4 for our premier client in Richmond, Virginia.  Education And Experience »  Elicit functional and technical requirements based off business requirements and interviews/meetings with business system users: 3 Years.Manage and track requirements in Team Foundation Server (TFS): 3 Years.Experience and proficiency with Microsoft, Visio, SharePoint and Office applications: 3+ years.Create wire frames: 3",Mid
job-3884437640,Software Engineer,Ascendion,United States,AWS;Git;Terraform,"About Ascendion :Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to e",Mid
job-3884437645,Analytics Engineer,Switch RCM,United States,Excel;SQL;AWS;Terraform;dbt;Data Modeling,"Join Switch RCM as an Analytics Engineer and be at the forefront of our dynamic product line in the hospital revenue cycle field. We're seeking a talented individual to collaborate with both our development and client-facing analytics teams, acting as a vital link between technical and non-technical stakeholders. While primarily focused on internal projects, occasional client interaction may arise during implementations. Previous experience with Epic is advantageous given our substantial Epic cl",Mid
job-3884437721,Software Engineer,H10 Capital,"Redmond, WA",Excel;Python;Linux;Communication,"Shortlisting soon or when we fill our candidate spots! I hope this message finds you well. I would love to connect to discuss an opportunity with Microsoft. If you are interested, please respond with your Word format resume. Thank you!Deadline: shortlisting soon or when our candidate spots are fullEmail: Sara@H10Capital.comText: (425)200-4777 Title: Display Software Engineer (16939) Redmond, WADuration: Managed Services (a contract that can renew indefinitely)  Responsibilities:- Firmware and dr",Mid
job-3884437909,Frontend Developer,RecruitInflux,"Phoenix, AZ",Excel;Java;JavaScript;React;HTML;CSS;Monitoring;Communication,"JOB DESCRIPTION:Position: Expert React Frontend DeveloperLocation: Onsite - Phoenix AZDuration: Multiyear Contract Skills: React/JS, HTML, CSS, JavaScript, Java, REST Web Services. Responsibilities:Developing and implementing highly responsive user interface components using react concepts. Writing application interface codes using JavaScript following react.js workflows. Troubleshooting interface software and debugging application codes. Build reusable components and front-end libraries for fut",Mid
job-3884438451,Data Engineer,Robert Half,United States,ETL;APIs;Tableau;SQL,"Data Engineer / Architect Robert Half technology is partnering with a client in Baton Rouge, LA to land a Data Architect. The role will be heavily focused on Data Integrations, Management, architecture & more. The right candidate will have 5 years of data engineering experience using ETL and platforms like Snowflake. If you are a Senior data engineer who thrives in a transforming organization where an impact can be made apply today! This role is remote, but preference will be given to local cand",Mid
job-3884438638,Cloud Engineer,Scion Staffing,"Oakland, CA",Python;React;AWS;GCP;Linux;Networking;Penetration Testing,"Scion Technology has been engaged to conduct an immediate search for an experienced IT Systems Engineer for our client, a wonderful renewable energy organization in Oakland, CA! In this role, you’ll work with the IT team to provide top level support to networks, systems, and users. This is a full time, direct hire, hybrid (2 days a week onsite) role! Perks:to be part of an established sustainable energy leader!work culture and an experienced IT team!range is $120k+, depending on experience What",Mid
job-3884438827,Product Manager,Exact Sciences,"Madison, WI",Excel;Tableau;Git;Product Strategy;Agile;Figma;Communication,"Help us change lives  At Exact Sciences, we’re helping change how the world prevents, detects and guides treatment for cancer. We give patients and clinicians the clarity needed to make confident decisions when they matter most. Join our team to find a purpose-driven career, an inclusive culture, and robust benefits to support your life while you’re working to help others.  At Exact Sciences, we're on a mission to change lives by transforming how the world prevents, detects, and guides treatment",Junior
job-3884438958,Data Analyst,USCTEK - Recruiting & Staffing,"Jacksonville, FL",SQL;Git;Agile,"Position: Sr. Data AnalystDuration: Long TermLocation: Jacksonville, Florida (ONSITE) ONLY LOCAL CANDIDATESVisa: USC ONLY  Must:SQLPower BISupply ChainDynamicsAgile﻿Sr. Data Analyst is needed for client's digital transformation initiative. The role will be responsible to develop an understanding of the client's business and department processes in order to provide data analysis, highlight insights, document data requirements and recommend solutions/improvements that enable the department to oper",Mid
job-3884439171,Business Analyst,EquiLend,"New Jersey, United States",Excel;SQL;Agile;Communication,"Company Overview  As a leading global FinTech company focused on Securities Finance, we provide a comprehensive suite of products and services such as our advanced securities lending trading platform NGT, EquiLend Spire, post-trade solutions, regulatory technology, invaluable securities market data and more.  Our deep insights into the securities lending market allow us to offer state-of-the-art technology and services that cater to clients across the globe, driving efficiency and optimizing the",Mid
job-3884439251,Full Stack Developer,"Miracle Software Systems, Inc","Bentonville, AR",SQL;Java;JavaScript;React;HTML;AWS;Kubernetes;Agile,"Miracle Software System is seeking a Fullstack Developer- React with extensive experience in React js,spring boot,Java. This exciting opportunity is based in Bentonville, AR, USA, United States, and has a duration of 6 Months with One of our direct client.  Requirement DetailsJob Title: Fullstack Developer- ReactLocation:Bentonville, AR, USA Duration: Long Term Preferred Skills: React js,spring boot,Java Job Description:Experience in developing Enterprise applications using React JS, HTML, Redux",Mid
job-3884439254,Business Analyst,Maxonic,"Los Angeles, CA",System Design;Agile;Communication,"Maxonic maintains a close and long-term relationship with our direct client. In support of their needs, we are looking for a Business Analyst (Dynamics 365 Finance). Job Description: Job Title: Business Analyst (Dynamics 365 Finance)Job Location: Woodland Hills, CAWork Schedule: Hybrid (at least 3 days onsite, 2 days remote)Job Type: Fulltime/Permanent job (NO CTC - W2 ONLY)  Summary:Support and maintain Client Dynamics 365 Finance and operations application: analyzing business requirements, det",Mid
job-3884439345,Software Engineer,OSI Engineering,"Redmond, WA",Excel;AWS;Docker;Kubernetes;CI/CD;Terraform;Communication,"Software Engineer for global computer software company in Redmond, WA. This team is committed to delivering industry-leading security solutions to protect our customers from emerging cyber threats. As part of our team, you will be at the forefront of developing cutting-edge infrastructure tools essential for deploying and managing resources and services across various regions seamlessly. Our team focuses on automating deployment processes, integrating with proprietary and cloud-native frameworks",Mid
job-3884439547,Mobile Developer (iOS),Five Pack,Dallas-Fort Worth Metroplex,Swift;Xcode;UIKit;Agile,"Who are we looking for? Five Pack is looking for Senior iOS candidates for fluctuating role needs. Partial on-site required (hybrid role). Job PerksOur client is a Fortune 500 company, one of the largest carriers in the world, and leading mobile technology for the transportation industryBrand new state of the art facilities with dozens of restaurants ranging from sushi and tacos to coffee and saladsBike trails throughout the entire campusAlways on the forefront of technology changes What are som",Mid
job-3884439694,QA Engineer,Thermo Fisher Scientific,"West Virginia, United States",Excel;Git;Monitoring,"As part of the Thermo Fisher Scientific team, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life every single day to enable our customers to make the world healthier, cleaner and safer. We provide our global teams with the resources needed to achieve individual career goals while helping to take science a step beyond by developing solutions for some of the world’s toughest challenges, like protecting the environment",Mid
job-3884440505,Data Engineer,Avesta Computer Services,United States,ETL;Python;SQL;AWS;Git;dbt;Data Modeling,The ETL Data Engineer will focus on transforming raw data for consumption by BI and support the data platform development across multiple teams and phases. They will be a part of the Data team and contribute to developing data solutions that allow the business to leverage data as a strategic asset. The role requires expertise in data modeling and SQL transformations. Title - Senior ETL Data EngineerLocation - Remote - 100%Type - Fulltime  Responsibilities include: Translate requirements and data,Mid
